TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity,Target
11:28:00,0.73824919,1,0.869249188,0.173477341,0.369559932,0
07:10:00,0.275559234,0.36001593,0.317427741,0.028852887,0.65451009,1
18:31:00,0.131090937,0.137138131,0.130086435,0.222894784,0.243393368,1
19:55:00,0.004325729,0,0.010246872,0.18385259,0.52667901,1
19:29:00,0.000232775,0,0.00354225,0.207833363,0.352465915,1
11:27:00,0.737662942,1,0.867150807,0.175146876,0.389833361,0
12:43:00,0.993792675,1,1,0.563752893,0.126241374,0
03:24:00,9.70E-05,0,0.013932194,0.066458964,0.558491836,1
15:26:00,0.691401131,0.939625647,0.77595348,0.261218919,0.078774617,0
21:48:00,0.004422719,0,0.009714055,0.157949083,0.514559838,1
19:10:00,0.000186794,0,0.001795793,0.209582023,0.39776319,1
13:39:00,0.768311608,1,0.867683625,0.263592665,0.058575997,0
12:17:00,0.77738982,1,0.911019458,0.201637885,0.240363575,0
12:48:00,0.998913718,1,0.945741406,0.877051807,0.301969365,0
01:57:00,0.000290968,0,0.012777756,0.09017269,0.471132806,1
15:34:00,0.701117318,0.954177006,0.787316967,0.263165391,0.050496549,0
01:46:00,0.00036856,0,0.013443778,0.092789745,0.468607978,1
00:50:00,5.82E-05,0,0.011623318,0.109667082,0.39336812,1
22:04:00,0.004091857,0,0.010973213,0.154593367,0.509805541,1
06:31:00,0.000465549,0,0.018860757,0.031048602,0.685238175,1
12:30:00,0.820763501,1,0.960305087,0.222147054,0.228244403,0
05:34:00,0.000290968,0,0.018816356,0.030194054,0.692307692,1
17:39:00,0.388196312,0.500438072,0.411065504,0.242703697,0.123510819,0
04:23:00,0.00027157,0,0.016019063,0.049581627,0.659989901,1
00:07:00,0.000114191,0,0.010755395,0.120584748,0.442425994,1
04:59:00,0.000174581,0,0.017706319,0.03350543,0.68018852,1
12:40:00,0.878181254,1,1,0.301406445,0.118161926,0
05:55:00,0.000329764,0,0.018283538,0.035588392,0.658475004,1
18:37:00,0.098812849,0.094706369,0.096785334,0.221399323,0.208045784,1
10:12:00,0.6994491,0.971133168,0.832073647,0.126651237,0.525164114,0
08:04:00,0.622478274,0.867411084,0.753749457,0.041196368,0.800875274,0
05:31:00,0.000342574,0,0.017377078,0.028829597,0.67528178,1
06:25:00,0.000252173,0,0.018105932,0.033612249,0.670594176,1
16:42:00,0.569723199,0.757785743,0.618864375,0.255047178,0.105032823,0
09:29:00,0.675861266,0.943507031,0.816089119,0.080291971,0.628177075,0
23:46:00,0.003840782,0,0.013488179,0.124995549,0.4448746,1
19:00:00,0.000853507,0,0.003275842,0.212747018,0.311058744,1
00:37:00,0.000155183,0,0.012733354,0.113031868,0.405992257,1
20:43:00,0.004151148,0,0.010335675,0.173811643,0.527183976,1
22:20:00,0.004301208,0,0.01293358,0.154383761,0.470665951,1
00:56:00,0.000317551,0,0.010903027,0.108519771,0.419645028,1
11:11:00,0.724433582,0.999338296,0.847525358,0.173865053,0.483756943,0
08:47:00,0.638351496,0.889446436,0.769539935,0.059608727,0.703136397,0
15:01:00,0.667171012,0.904052936,0.743181908,0.258038099,0.080794479,0
00:35:00,0.000310366,0,0.012333741,0.113779598,0.407507154,1
13:50:00,0.761056797,1,0.860401784,0.263699484,0.049486618,0
08:38:00,0.630244615,0.877260056,0.759021721,0.058888691,0.761487965,0
20:15:00,0.003976567,0,0.009358843,0.180007121,0.564551422,1
08:42:00,0.633884233,0.885111663,0.766181868,0.056471426,0.724120518,0
07:15:00,0.330775686,0.438709677,0.381905251,0.027618539,0.656455142,1
15:32:00,0.700069832,0.950537634,0.784208865,0.263485847,0.053526342,0
00:36:00,0.000290968,0,0.01077969,0.112604593,0.398417775,1
11:59:00,0.759020737,1,0.886694031,0.19363836,0.323851204,0
17:38:00,0.399286158,0.515053763,0.424024154,0.242869859,0.131291028,0
12:10:00,0.768078833,1,0.889085132,0.199287876,0.326207709,0
19:09:00,0.000116387,0,0.001055768,0.209862916,0.379734052,1
14:53:00,0.698556797,0.951364764,0.786073726,0.255047178,0.048476687,0
18:02:00,0.288213842,0.35955335,0.303784978,0.232401638,0.149469786,1
11:47:00,0.744917753,1,0.871502151,0.184119637,0.304999158,0
03:15:00,0.000116387,0,0.01379899,0.078636283,0.544857768,1
14:41:00,0.698013656,0.949627792,0.784475273,0.255260815,0.012119172,0
12:37:00,0.865269444,1,1,0.249389749,0.160466813,0
19:16:00,0.000116387,0,0.003275842,0.20879473,0.289850194,1
16:15:00,0.651963066,0.878329198,0.719471524,0.26925405,0.057566066,0
17:59:00,0.292968481,0.367343688,0.310501112,0.233137499,0.129345976,1
11:32:00,0.754112353,1,0.888907527,0.176428699,0.386803568,0
15:05:00,0.662787089,0.89834574,0.738208943,0.255794908,0.070695169,0
07:31:00,0.588648355,0.814557486,0.703042981,0.050382767,0.660494866,0
00:03:00,0.000228383,0,0.011583105,0.123152425,0.438957929,1
21:03:00,0.004345127,0,0.011800924,0.168897988,0.534758458,1
09:21:00,0.667132216,0.930934657,0.804811146,0.076980595,0.621107558,0
06:14:00,0.00039967,0,0.018161224,0.032969322,0.681722472,1
16:52:00,0.540153631,0.71497105,0.583159016,0.255581271,0.116142064,0
23:49:00,0.003635091,0,0.013848418,0.125196086,0.41567235,1
07:20:00,0.456471136,0.616873449,0.529788452,0.031903151,0.682713348,0
21:11:00,0.00422508,0,0.011103904,0.162977618,0.471161389,1
17:45:00,0.367628802,0.472456576,0.389302206,0.238063023,0.117151995,1
08:25:00,0.622922271,0.867463162,0.752266119,0.047368109,0.794553854,0
14:24:00,0.721679081,0.983953681,0.81280341,0.263485847,0.069685238,0
06:57:00,0.118726579,0.136917563,0.138874637,0.024944118,0.664235351,1
16:37:00,0.585040348,0.781472291,0.637506414,0.258251736,0.078774617,0
16:29:00,0.614292365,0.823576264,0.674020865,0.267184935,0.109895453,0
18:41:00,0.073944755,0.062282878,0.072897344,0.220758412,0.298939572,1
20:48:00,0.00422874,0,0.008604018,0.172155955,0.529203838,1
02:47:00,0.000174581,0,0.012511347,0.080879473,0.535263424,1
03:29:00,0.000290968,0,0.014820223,0.061545309,0.604443696,1
17:23:00,0.451233706,0.587344913,0.479081975,0.244258501,0.111092409,0
08:43:00,0.634989195,0.885463959,0.766632461,0.058785829,0.745927547,0
22:34:00,0.003840782,0,0.012244938,0.14833541,0.491331426,1
21:24:00,0.004148952,0,0.010755395,0.163292028,0.512778168,1
06:16:00,0.000484947,0,0.016907092,0.032917928,0.678673624,1
09:28:00,0.674697393,0.942431762,0.814668272,0.080078334,0.614038041,0
03:34:00,0.00027157,0,0.015441844,0.059355528,0.619087696,1
09:20:00,0.66755897,0.933085194,0.807120022,0.076339683,0.611008248,0
11:41:00,0.753977286,1,0.877629554,0.182940676,0.423048869,0
16:57:00,0.523626629,0.689909016,0.560159056,0.252910806,0.096953375,0
15:51:00,0.71166977,0.966666667,0.795220429,0.274274524,0.087863996,0
19:47:00,0.004655493,0,0.008559616,0.185775325,0.491836391,1
05:40:00,0.000247415,0,0.018640425,0.029039204,0.669336526,1
04:34:00,0.000494829,0,0.018335479,0.039833927,0.710953305,1
22:07:00,0.004110889,0,0.011713796,0.154802973,0.527145865,1
06:39:00,0.006832449,0,0.025828436,0.029301212,0.67528178,1
19:04:00,0.000155183,0,0.004163871,0.210610646,0.346406329,1
23:24:00,0.00486887,0,0.014775822,0.131137618,0.463558324,1
01:40:00,0.000392268,0,0.011159569,0.095456254,0.465840019,1
23:45:00,0.003749283,0,0.01328209,0.124514866,0.428553734,1
21:38:00,0.004480912,0,0.009358843,0.161634324,0.547382596,1
06:37:00,0.003375233,0,0.021436042,0.0304611,0.65897997,1
10:47:00,0.718032278,0.99611249,0.848324585,0.15591953,0.49082646,0
06:26:00,0.000717722,0,0.016685085,0.032383835,0.679683555,1
23:52:00,0.003918374,0,0.013488179,0.122965996,0.415586602,1
13:58:00,0.759078212,1,0.855073608,0.267438134,0.085844134,0
04:26:00,0.000247415,0,0.017769151,0.045702903,0.677758969,1
14:39:00,0.697315332,0.948635236,0.782610412,0.256329001,0.007069517,0
05:02:00,0.000266446,0,0.01798697,0.033178928,0.685190537,1
09:51:00,0.68924581,0.959470637,0.825058215,0.110307994,0.601918869,0
15:52:00,0.710777467,0.96757651,0.79646367,0.27534271,0.078774617,0
22:14:00,0.004170546,0,0.011712121,0.154477479,0.486281771,1
17:37:00,0.404174426,0.522663358,0.429529936,0.242228948,0.132300959,0
06:55:00,0.095398821,0.105789909,0.111437818,0.024532669,0.66453459,1
18:11:00,0.258069522,0.318444996,0.270483877,0.229624355,0.154519441,1
02:52:00,9.70E-05,0,0.012644551,0.080452199,0.524154183,1
09:55:00,0.691326413,0.960493827,0.825551565,0.113405733,0.595185996,0
01:51:00,0.000329764,0,0.010246872,0.089905644,0.463558324,1
04:39:00,0.000290968,0,0.017928326,0.041196368,0.701902037,1
23:53:00,0.003654123,0,0.013412781,0.123047622,0.423599356,1
17:14:00,0.470437616,0.613647643,0.49888503,0.24959943,0.090893789,0
01:29:00,0.000116387,0,0.012067332,0.097596582,0.487796667,1
13:22:00,0.819638423,1,0.838556262,0.422325085,0.052516411,0
21:04:00,0.003957169,0,0.011312507,0.167722984,0.511530045,1
06:51:00,0.059900683,0.063771712,0.079202352,0.026775859,0.647365763,1
18:53:00,0.011173184,0,0.012866559,0.213387929,0.270661505,1
11:15:00,0.730590615,1,0.859244057,0.169980021,0.439581814,0
00:42:00,0.000228383,0,0.01058114,0.114401362,0.413690599,1
03:52:00,0.000174581,0,0.015841457,0.052625957,0.617067834,1
11:46:00,0.74265754,1,0.865572088,0.183249263,0.305373207,0
04:30:00,0.000247415,0,0.016375113,0.04659373,0.708476116,1
20:16:00,0.004389671,0,0.010005131,0.179494788,0.554826161,1
15:55:00,0.706587523,0.956410256,0.786961756,0.276410895,0.105032823,0
07:53:00,0.666317505,0.938626964,0.82248293,0.031582695,0.860461202,0
17:01:00,0.511793917,0.670471464,0.543996921,0.252269895,0.105032823,0
17:51:00,0.328328678,0.417204301,0.347831235,0.235178921,0.131291028,1
23:34:00,0.003957169,0,0.014642618,0.129428521,0.464063289,1
